ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC
11,Guanajuato,17,Irapuato,0,Total del municipio,0,0,592953,302183,290770,29487,14673,14814,563339,287446,275893,541668,276749,264919,469377,241139,228238,439479,226430,213049,409113,211419,197694,32784,15999,16785,61178,30308,30870,71128,35071,36057,29898,14709,15189,30366,15011,15355,74847,36556,38291,161420,64480,34937,29543,96.22,153347,396057,43422,2.06,534519,274974,259545,54795,25529,29266,526279,271445,254834,13189,4750,8439,742,314,428,8,5,3,715,300,415,737,8,710,1811,8498,4204,4294,21385,11071,8385,3785,4340,5070,4133,44272,14982,27151,3372,9642,2889,7774,6546,523510,12711,6238,6473,3484,1751,1733,3301,1607,1694,20917,10529,10388,22005,11014,10991,1582,735,847,17330,11002,6328,21814,12900,8914,26985,15082,11903,61145,33352,27793,11076,4953,6123,129862,66958,62904,173354,85211,88143,9.66,9.46,9.87,285598,116870,168728,177369,123706,53663,280623,115569,165054,4975,1301,3674,112281,480249,283558,30953,1407,14857,142271,1530,7621,3538,160359,260206,48696,528279,33922,702,29439,151888,47141,104747,585681,170236,415445,179354,151961,177744,150351,151777,151888,23103,4290,585681,3.86,0.98,148865,2884,36630,115125,4267,19446,128043,151480,279,149628,118072,2131,120510,75719,149064,1155,149478,2273,147526,51,148626,58527,755,143494,126016,82356,78005,32192,52249,114521,144407,59585,59083,133506,77448,65454,27840,18077,3889,12246,65516,1731
11,Guanajuato,17,Irapuato,1,Total de la localidad urbana,0,0,452090,230346,221744,20914,10347,10567,431067,219943,211124,415412,212227,203185,363055,186443,176612,341058,175635,165423,318462,164450,154012,23751,11595,12156,44261,21905,22356,51841,25522,26319,21997,10808,11189,22596,11185,11411,56799,27604,29195,123843,50750,27818,22932,96.27,110923,307155,33903,1.95,397672,205162,192510,51393,23827,27566,401295,207411,193884,12376,4363,8013,703,303,400,8,5,3,678,290,388,698,8,673,1705,7600,3772,3828,15739,8128,6266,2751,3121,3773,2986,33479,10946,20851,2610,7415,2282,5848,5029,399820,9261,4520,4741,2538,1288,1250,2213,1057,1156,16424,8256,8168,18796,9364,9432,1123,517,606,9806,6338,3468,13017,7938,5079,16367,9557,6810,42006,23550,18456,8385,3850,4535,93497,47652,45845,155602,76679,78923,10.25,10.02,10.48,223448,94944,128504,133609,91098,42511,219419,93821,125598,4029,1123,2906,82225,369542,235354,28013,1219,14183,84311,1151,7309,2894,127117,195645,40196,398237,27830,541,24998,117854,38499,79355,444829,137581,307248,138737,117925,137218,116406,117748,117854,18227,2585,444829,3.77,0.93,115927,1797,26437,91293,2428,12049,103253,117601,132,117145,112417,588,98403,69729,117330,284,117448,277,116866,22,117301,42240,379,113076,100633,71241,64768,23748,37805,91055,112964,54940,53363,107132,70371,59355,26740,17200,2364,6179,40343,853
11,Guanajuato,17,Irapuato,1,Total AGEB urbana,78,0,3815,1973,1842,248,138,110,3567,1835,1732,3435,1771,1664,2948,1514,1434,2725,1415,1310,2492,1298,1194,208,106,102,411,215,196,509,248,261,223,99,124,233,117,116,540,284,256,1149,224,118,106,93.36,1090,2584,141,1.93,3675,1903,1772,132,67,65,3419,1764,1655,11,5,6,*,0,*,*,0,*,0,0,0,*,*,0,*,45,21,24,222,69,132,46,49,54,54,358,67,231,36,82,30,45,43,3213,89,40,49,36,26,10,29,18,11,136,62,74,118,67,51,16,13,3,88,56,32,125,77,48,135,80,55,510,258,252,130,57,73,1029,540,489,685,351,334,8.65,8.54,8.77,2052,897,1155,892,615,277,2035,895,1140,17,*,15,674,3140,2196,45,0,15,847,45,9,*,939,1714,295,3297,301,0,204,1038,340,698,3815,1159,2656,1212,1038,1211,1037,1036,1038,169,5,3815,3.68,1.25,955,81,338,698,126,268,642,1035,*,1035,1030,*,867,109,1020,15,1035,*,1033,0,1032,397,3,983,812,415,372,390,516,720,957,157,79,877,179,195,33,43,54,154,790,25
11,Guanajuato,17,Irapuato,1,Irapuato,78,1,60,34,26,6,4,*,54,30,24,51,29,22,45,24,21,45,24,21,39,22,17,4,*,*,5,4,*,4,3,*,0,0,0,6,*,4,13,9,4,21,*,*,*,76.47,15,43,*,1.46,54,30,24,6,4,*,51,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,59,*,*,0,0,0,0,0,0,0,3,0,3,*,*,0,0,0,0,*,*,0,0,0,0,*,*,0,4,*,3,0,0,0,21,12,9,17,10,7,9.93,9.79,10.1,31,14,17,14,10,4,31,14,17,0,0,0,7,53,26,0,0,0,28,0,0,0,11,30,4,45,6,0,9,16,3,13,60,10,50,16,16,16,16,16,16,0,0,60,3.75,1.11,16,0,5,11,0,3,13,16,0,16,16,0,14,3,16,0,16,0,16,0,16,5,0,16,12,8,7,7,8,12,16,*,0,15,*,8,*,*,0,*,14,0
11,Guanajuato,17,Irapuato,1,Irapuato,78,2,143,71,72,9,5,4,134,66,68,128,63,65,106,54,52,100,53,47,93,50,43,12,5,7,16,7,9,15,4,11,6,*,5,7,3,4,21,12,9,44,7,3,4,101.41,43,94,6,2.17,142,71,71,*,0,*,128,63,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,*,*,0,*,*,0,7,3,*,*,*,*,0,0,132,3,*,*,0,0,0,*,*,0,*,0,*,*,0,*,*,0,*,6,3,3,6,3,3,*,*,0,12,4,8,*,*,0,53,28,25,24,15,9,8.84,9,8.66,74,33,41,32,21,11,73,33,40,*,0,*,7,136,83,0,0,0,53,0,0,0,30,69,7,137,3,0,3,28,4,24,143,23,120,31,28,31,28,28,28,3,0,143,5.11,1.4,27,*,6,22,0,0,28,28,0,28,28,0,17,8,28,0,28,0,28,0,28,10,0,28,20,8,10,14,17,25,26,4,*,27,8,9,3,4,0,*,20,0
11,Guanajuato,17,Irapuato,1,Irapuato,78,3,120,65,55,13,8,5,107,57,50,102,54,48,90,46,44,87,44,43,87,44,43,6,4,*,11,7,4,9,6,3,3,*,*,0,0,0,20,8,12,31,11,6,5,84.62,33,80,7,2.46,120,65,55,0,0,0,102,54,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,6,*,4,0,0,*,0,10,6,5,*,0,*,*,0,104,4,*,*,*,*,0,0,0,0,0,0,0,4,*,*,*,*,0,7,6,*,8,7,*,6,*,5,22,12,10,3,*,*,37,20,17,11,*,9,7.46,6.73,8.21,56,19,37,33,26,7,56,19,37,0,0,0,30,90,31,0,0,0,57,0,*,0,16,67,7,96,13,0,9,29,9,20,120,33,87,33,29,33,29,29,29,4,0,120,4.14,1.32,25,4,6,23,3,*,24,29,0,29,29,0,21,3,29,0,29,0,29,0,29,11,0,26,19,7,13,11,20,27,24,4,6,22,6,6,*,*,*,5,23,0
11,Guanajuato,17,Irapuato,1,Irapuato,78,4,64,34,30,5,3,*,59,31,28,56,30,26,50,27,23,48,26,22,43,23,20,4,*,*,5,*,3,6,*,4,*,*,*,5,3,*,7,4,3,23,*,*,*,88.24,16,47,*,1.85,64,34,30,0,0,0,55,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,*,*,0,*,0,*,0,0,0,0,0,60,3,*,*,0,0,0,0,0,0,3,*,*,*,0,*,0,0,0,0,0,0,*,*,0,7,3,4,8,6,*,4,3,*,19,6,13,7,5,*,7.6,7.42,7.82,27,10,17,23,17,6,26,10,16,*,0,*,22,42,24,0,0,0,18,0,0,0,16,28,6,62,*,0,0,18,6,12,64,17,47,18,18,18,18,18,18,0,0,64,3.56,1.05,16,*,5,13,*,4,13,18,0,18,18,0,11,5,18,0,18,0,18,0,18,8,0,16,12,4,4,7,8,9,18,4,*,16,5,3,*,0,0,*,12,0
11,Guanajuato,17,Irapuato,1,Irapuato,78,5,46,25,21,*,0,*,45,25,20,44,24,20,41,23,18,38,22,16,34,20,14,*,*,0,3,*,*,6,*,4,3,*,*,4,*,*,6,4,*,17,4,*,3,84,8,36,*,0.91,46,25,21,0,0,0,44,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,0,0,*,*,*,0,0,0,0,0,43,*,*,0,0,0,0,0,0,0,*,*,*,*,*,0,*,*,0,*,0,*,*,0,*,*,*,0,3,*,*,0,0,0,15,6,9,15,11,4,9.18,9.77,8.38,28,16,12,13,7,6,28,16,12,0,0,0,5,41,36,0,0,0,5,0,0,0,18,21,*,45,0,0,*,18,9,9,46,21,25,25,18,25,18,18,18,7,0,46,2.56,0.78,18,0,7,11,*,0,16,18,0,18,18,0,16,*,18,0,18,0,18,0,18,6,0,18,13,10,9,6,8,13,16,3,4,17,4,7,3,3,*,*,14,0
11,Guanajuato,17,Irapuato,1,Irapuato,78,6,81,44,37,13,7,6,68,37,31,66,36,30,59,31,28,54,30,24,50,28,22,*,*,*,7,5,*,10,5,5,5,*,4,4,*,*,13,11,*,27,4,*,*,84.09,27,54,0,1.42,81,44,37,0,0,0,66,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,*,*,*,*,*,*,*,*,*,9,0,7,0,*,0,*,*,69,*,0,*,3,*,*,*,0,*,*,0,*,*,*,0,0,0,0,9,5,4,11,5,6,3,*,*,17,13,4,0,0,0,20,9,11,3,*,*,5.98,5.87,6.13,52,28,24,7,3,4,51,28,23,*,0,*,10,70,56,0,0,0,15,0,0,0,19,36,4,72,4,0,*,20,3,17,81,4,77,23,20,23,20,19,20,3,0,81,4.05,1.45,19,0,7,12,4,*,13,19,0,19,19,0,19,3,19,0,19,0,19,0,19,12,0,19,18,11,*,5,14,6,14,4,*,14,0,*,0,*,4,5,15,*
11,Guanajuato,17,Irapuato,1,Irapuato,78,7,80,42,38,9,5,4,71,37,34,71,37,34,63,31,32,57,27,30,53,24,29,*,*,0,6,4,*,11,8,3,6,4,*,4,3,*,13,4,9,20,7,5,*,90.48,23,54,3,1.39,80,42,38,0,0,0,71,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0,0,0,0,0,*,4,0,3,0,0,*,0,5,70,0,0,0,4,4,0,*,*,0,*,0,*,*,0,*,*,*,0,3,*,*,6,3,3,3,*,*,14,6,8,*,*,0,19,10,9,12,5,7,7.72,7.78,7.67,52,26,26,10,5,5,51,26,25,*,0,*,21,59,40,6,0,0,14,0,0,0,25,33,5,76,0,0,3,16,5,11,80,23,57,24,16,23,15,16,16,8,0,80,5,1.51,13,3,*,14,0,3,13,16,0,16,15,0,15,0,16,0,16,0,16,0,16,5,0,15,16,6,4,8,6,5,10,*,4,14,3,3,*,*,5,*,12,*
